"chrom","context","total_reads","mean_meth","median_meth","sd_meth"
"ptg000189l_RagTag","CHG",32,4.54545454545455,0,21.320071635561
"ptg000192l_RagTag","CHG",242,2.70652173913043,0,14.2714036695407
"ptg000195l_RagTag","CHG",176,4.43037974683544,0,19.8559677013753
"ptg000196l_RagTag","CHG",146,2.56153846153846,0,12.5247066506388
"ptg000199l_RagTag","CHG",435,2.34604105571848,0,14.6652016246769
"ptg000206l_RagTag","CHG",262,12.3592233009709,0,31.7896606504669
"ptg000213l_RagTag","CHG",6,16.6666666666667,0,40.8248290463863
"ptg000215l_RagTag","CHG",36,0,0,0
"ptg000219l_RagTag","CHG",352,3.07920792079208,0,16.599698693697
"ptg000220l_RagTag","CHG",5,0,0,0
"ptg000222l_RagTag","CHG",24,2.94117647058824,0,12.1267812518166
"ptg000223l_RagTag","CHG",13,0,0,0
"ptg000224l_RagTag","CHG",509,29.7945205479452,0,41.7270562422078
"OR482510.1","CHH",1281,3.56531049250535,0,14.2875706081921
"genome_hic_scaffold_10_RagTag","CHH",4657285,3.59032758101611,0,17.5511027387721
"genome_hic_scaffold_11_RagTag","CHH",4064864,3.63093552659834,0,17.6393688624445
"genome_hic_scaffold_12_RagTag","CHH",4674969,3.55829995880095,0,17.4649517020983
"genome_hic_scaffold_13_RagTag","CHH",4215585,3.67569191525631,0,17.7238102850422
"genome_hic_scaffold_14_RagTag","CHH",4212044,3.62193788470418,0,17.6104105918245
"genome_hic_scaffold_15_RagTag","CHH",4399751,3.5907397007032,0,17.5312221790559
"genome_hic_scaffold_16_RagTag","CHH",3036605,3.71432208202787,0,17.8318552050483
"genome_hic_scaffold_17_RagTag","CHH",3794693,3.73891545399186,0,17.9043080549632
"genome_hic_scaffold_18_RagTag","CHH",3620431,3.73025579333068,0,17.8720496005013
"genome_hic_scaffold_19_RagTag","CHH",4588721,3.56888701023092,0,17.4787576929496
"genome_hic_scaffold_1_RagTag","CHH",5571554,3.61776045069943,0,17.612980463653
"genome_hic_scaffold_20_RagTag","CHH",4336350,3.58656566415765,0,17.5404161924999
"genome_hic_scaffold_21_RagTag","CHH",3445693,3.58561541763037,0,17.5241517763198
"genome_hic_scaffold_22_RagTag","CHH",3794910,3.65068442279742,0,17.6598322516712
"genome_hic_scaffold_23_RagTag","CHH",3066777,3.71081296476315,0,17.823059788366
"genome_hic_scaffold_24_RagTag","CHH",2178077,3.85383372982279,0,18.154214939999
